// Estos son todos las Popups que contiene el juego

[GjDropDownLayer]

"Account", "Cuenta"
"Spider", "Tarantula"
"Swing", "Columpiar"
"Jetpack", "Mochila Propulsora"
"Ship Fire", "Incendio de Nave"
"Death Effect", "Efecto de Muerte"

"Cube %i", "Cubo %i"
"Ship %i", "Nave %i"
"Ball %i", "Bola %i"
"UFO %i", "OVNI %i"
"Wave %i", "Ola %i"
"Robot %i", "Automata %i"
"Spider %i", "Tarantula %i"
"Swing %i", "Columpiar %i"
"Jetpack %i", "Mochila Propulsora %i"
"Ship Fire %i", "Incendio de Nave %i"
"Death Effect %i", "Efecto de Muerte %i"

"This <cg>%s</c> is <cl>unlocked</c> by default.", "Este <cg>%s</c> esta <cl>desbloqueado</c> por predeterminado."

[Shop]
"Buy Item", "Comprar Item"
"Cancel", "Cancelar"
"Buy", "Comprar"

[Rewards]
"Open", "Abrir"
"Follow RobTop Games!", "Sigue a RobTop Games!"
"Earn rewards!", "Gana recompensas!"

[Archivements]
"Achievements", "Logros"

[Stats]
"Stats", "Estadisticas"
"Total Jumps:", "Saltos totales:"
"Total Attempts:", "Intentos totales:"
"Pratice:", "Practica:"
"Collected Stars:", "Estrellas obtenidas:"
"Collected Diamonds:", "Diamantes obtenidos:"
"Total orbs collected:", "Orbes obtenidas:"
"Completed Levels:", "Niveles Completados:"
"Completed Online Levels:", "Niveles en Linea Completados:"
"Completed Insane Levels:", "Niveles en Linea Completados:"
"Completed Daily Levels:", "Niveles Diarios Completados:"
"Completed Demon Levels:", "Niveles Demon Completados:"
"Completed Map Packs:", "Paquetes de Mapas Completados:"
"Completed Gauntlets:", "Manoplas Completados:"
"Collected Secret Coins:", "Monedas Secretas Obtenidas:"
"Collected User Coins:", "Monedas de Usuario Obtenidas:"
"Liked/Disliked Levels:", "Me gusta/No me gusta en Niveles:"
"Rated Levels:", "Niveles Valorados:"
"Collected List Rewards:", "Recompensa de la Lista Recopilada:"
"Players destroyed:", "Jugadores Destruidos:"
"Total friends:", "Amigos totales:"

[Creator Layer + Sus botones wey xd]
[Quest]
"Coin Finder", "Rastreador de Monedas"
"Coin Collector", "Coleccionista de Monedas"
"Coin Master", "Maestro de Monedas"
"Orb Finder", "Rastreador de Orbes"
"Orb Collector", "Recolector de Orbes"
"Orb Master", "Maestro de Orbes"
"Star Finder", "Buscador de Estrellas"
"Star Collector", "Coleccionista de Estrellas"
"Star Master", "Maestro Estelar"
"Collect %i Silver Coins.", "Recoge %i monedas de plata."
"Collect %i Mana Orbs.", "Recoge %i orbes de mana."
"Collect %i Stars/Moons.", "Recoge %i estrellas/lunas."

"Artist Name", "Nombre del Artista"
"Unknown", "Desconocido"
"Show Particles", "Mostrar Particulas"

"My Levels (%i)", "Mis Niveles (%i)"
"Favorite Lists (%i)", "Listas Favoritas (%i)"
"My Lists (%i)", "Mis Listas (%i)"
"Favorite Levels (%i)", "Mis Niveles Favoritos (%i)"
"Saved Levels (%i)", "Mis Niveles Guardados (%i)"
"Online Levels (%i)", "Niveles en Linea (%i)"

"Favorite Lists", "Listas Favoritas"
"Favorite Levels", "Niveles Favoritas"

"You have not <cg>favorited</c>", "No has agregado nada a <cg>favoritos</c>"
"any <cl>lists</c> yet!", "Alguna <cl>lista</c> todavia?!"
"Remove Favorites", "Eliminar Favoritos"
"Remove all lists from favorites?", "Eliminar todas las listas de Favoritos?"
"<cg>Search and folder filters apply.</c>", "<cg>Se aplican filtros de busqueda y carpeta.</c>"
"Lists", "Listas"
"A <co>list</c> may have rewards if it is rated by RobTop. The difficulty face is manually set by the creator of the list.", "Una <co>lista</c> puede tener recompensas si RobTop la califica. El nivel de dificultad lo establece manualmente el creador de la lista."
"Usernames are <cy>gold</c> for registered users and <cg>green</c> for unregistered users. A song is <cl>blue</c> if it is official and <cp>pink</c> if it is custom.", "Los nombres de usuario son <cy>dorados</c> para los registrados y <cg>verdes</c> para los no registrados. Una cancion es <cl>azul</c> si es oficial y <cp>rosa</c> si es personalizada."

[DailyPage]
"Platformer: %s", "Plataforma: %s"
"Classic: %s", "Clasicos: %s"
"Weekly: %s", "Semanales: %s"
"Gauntlet: %s", "Manoplas: %s"
"Daily: %s", "Diaros: %s"
"Map: %s", "Mapas: %s"

"(Event)", "(Evento)"
"(Weekly)", "(Semanal)"
"(Daily)", "(Diario)"

"New %s in: %s", "Nuevo %s in: %s"
"Daily Level", "Nivel Diario"
"Event Level", "Nivel Evento"
"Weekly Demon", "Demonio Semanal"
"Skip level", "Skipear Nivel"

"New Daily Level in: %s", "Nuevo Nivel Diario en: %s"
"New Weekly Demon in: %s", "Nuevo Nivel Demonio en: %s"
"New Event Level in: %s", "Nuevo Nivel Evento en: %s"

[LevelBrowserLayer]
"Find Level", "Buscar Nivel"
"Search", "Buscar"
"ok", "okey"
"Disable Shake"
"no", "no"
"No" "No"
"yes", "si"
"Yes", "Si"
"Set Folder", "Poner Folder"
"Set Folder Name", "Poner Nombre del Folder"
"Folder Name", "Nombre del Folder"
"Go to Folder", "Ir al Folder"
"Go to Page", "Ir a Pagina"

[Account Profile]
"Are you sure you want to <cr>delete</c> this comment?", "Estas seguro de que quieres <cr>eliminar</c> este comentario?"
"Delete Comment", "Eliminar comentario"
"Delete", "Eliminar"
"Load Comments", "Cargar comentarios"
"%s's comments", "Comentarios de %s"
"Messages", "Mensajes"
"From:", "De:"
"To:", "A:"
"Unpublished", "No publicado"
"Open", "Abrir"
"No messages selected.", "No hay mensajes seleccionados."
"Nothing here...", "No hay nada aqui..."
"Reply", "Responder"
"Remove", "Eliminar"
"Block", "Bloquear"
"Are you sure you want to <cl>unblock</c> <cy>%s</c>?", "Estas seguro de que quieres <cl>desbloquear</c> a <cy>%s</c>?"
"Unblock user", "Desbloquear usuario"
"Unblocking user", "Desbloqueo de usuario"
"Confirm Block", "Confirmar bloque"
"Are you sure you want to block <cg>%s</c>?", "Estas seguro de que quieres bloquear a <cg>%s</c>?"
"<cg>%s</c> will no longer be able to:", "<cg>%s</c> ya no podra:"
"- <cy>View your profile</c>", "- <cy>Ver tu perfil</c>"
"- <cl>Send messages</c>", "- <cl>Enviar mensajes</c>"
"- <cp>Send friend requests</c>", "- <cp>Enviar solicitudes de amistad</c>"
"- <cr>Messages from this user will be removed</c>", "- <cr>Los mensajes de este usuario seran eliminados</c>"
"Are you sure you want to remove this friend?", "Estas seguro de que deseas eliminar a este amigo?"
"Message", "Mensaje"
"Send Message", "Enviar mensaje"
"Friend Requests", "Solicitudes de amistad"
"Sent Requests", "Solicitudes enviadas"
"Vote", "Votar"
"Do you want to <cr>reset</c> all search <cy>filters</c>?", "Quieres <cr>restablecer</c> todos los <cy>filtros</c> de busqueda?"
"Clear Filters", "Borrar filtros"

"Sent Messages", "Mensajes enviados"
"Are you sure you want to <cr>remove</c> <cy>%s</c> from your friends list?", "Estas seguro de que deseas <cr>eliminar</c> a <cy>%s</c> de tu lista de amigos?"
"Are you sure you want to remove this friend request?", "Estas seguro de que deseas eliminar esta solicitud de amistad?"
"Unfriend", "Dejar de ser amigo"
"Total friends: %i", "Total de amigos: %i"
"Tap on a user to view their profile", "Toca a un usuario para ver su perfil."
"Nothing found", "No se encontro nada"
"Allow messages from:", "Permitir mensajes de:"
"None", "Ninguno"
"Allow friend requests from:", "Permitir solicitudes de amistad de:"
"Show Comment History to:", "Mostrar historial de comentarios a:"
"For <cr>YouTube</c>, enter your @handle (your unique YouTube username found in your channel URL or account settings).", "Para <cr>YouTube</c>, ingresa tu @Arroba (tu nombre de usuario unico de YouTube que se encuentra en la URL de tu canal o en la configuracion de tu cuenta)."
"<cl>Display names do not work.</c>", "<cl>Los nombres para mostrar no funcionan.</c>"
"You can also use your old channel ID starting with 'UC'.", "Tambien puedes utilizar tu antiguo ID de canal que comienza con 'UC'."
"For <cb>Twitch</c>, input your username, seen at the end of your channel's link (after 'twitch.tv/') or within your profile settings.", "Para <cb>Twitch</c>, ingresa tu nombre de usuario, que aparece al final del enlace de tu canal (despues de 'twitch.tv/') o dentro de la configuracion de tu perfil."
"<cl>Note that the display name will not work.</c>", "<cl>Tenga en cuenta que el nombre para mostrar no funcionara.</c>"
"For <cb>TikTok</c>, input your unique username handle, seen after '@' on your profile or at the end of your channel link (after 'tiktok.com/@').", "Para <cb>TikTok</c>, ingresa tu nombre de usuario unico, que aparece despues de '@' en tu perfil o al final del enlace de tu canal (despues de 'tiktok.com/@')."
"This field can be used for a custom, one-time <cg>authentication token</c> generated by a third-party service (such as a mod). Once saved here, the service can link and verify your account.", "Este campo se puede usar para un token de autenticacion personalizado y unico, generado por un servicio externo (como un moderador). Una vez guardado aqui, el servicio puede vincular y verificar su cuenta."
"<cr>Do not share any tokens generated for you with other users.</c>", "<cr>No compartas ningun token generado para ti con otros usuarios.</c>"
"For <ca>Twitter</c> (X), input your username handle, seen after '@' on your profile.", "Para <ca>Twitter</c> (X), ingrese su nombre de usuario, que aparece despues de '@' en su perfil."
"For <cp>Instagram</c>, input your username, seen on posts or within your settings.", "Para <cp>Instagram</c>, ingresa tu nombre de usuario, que aparece en las publicaciones o en tu configuracion."
"<cl>Note that the display name (at the top of your profile) will not work.</c>", "<cl>Tenga en cuenta que el nombre para mostrar (en la parte superior de su perfil) no funcionara.</c>"
"For <cl>Discord</c>, input your username, seen on your profile info page (button next to your display name). This is also used to tag users with by writing '@' first.", "Para <cl>Discord</c>, introduce tu nombre de usuario, que aparece en la pagina de informacion de tu perfil (boton junto a tu nombre para mostrar). Esto tambien se usa para etiquetar a los usuarios escribiendo "@" primero."
"Your Discord username is used for account linking and notifications through the Discord bot <co>Rateon</c>.", "Tu nombre de usuario de Discord se utiliza para vincular cuentas y recibir notificaciones a traves del bot de Discord <co>Rateon</c>."
"Updating...", "Actualizando..."
"Account settings updated!", "Configuracion de cuenta actualizada!"
"Discord username...", "Usuario de Discord..."
"Custom:", "Costumbre:"
"custom...", "costumbre..."
"Post Update", "Actualizacion posterior"
"%s Requested: <cy>%i</c>", "%s Solicitado: <cy>%i</c>"
"Add Comment", "Agregar Comentario"
"Insert comment", "Insertar comentario"
"Submit", "Entregar"
"To: ", "A: "
"Subject", "Sujeto"
"Reset Message", "Restablecer Mensaje"
"Are you sure you want to reset this message?", "Estas seguro que deseas restablecer este mensaje?"
"Reset", "Restablecer"

"Remove Server Level", "Eliminar Nivel de Servidor"
"Do you want to <cr>delete</c> this <cg>level</c> from the <cl>server</c>?", "Quieres <cr>eliminar</c> este <cg>nivel</c> del <cl>servidor</c>?"
"<cy>(Your level will no longer be available online)</c>", "<cy>(Tu nivel ya no estara disponible en linea)</c>"
"Delete", "Eliminar"
"<cy>(Creator enabled)</c>", "<cy>(Creador Activado)</c>"
"Delete Song"
"Do you want to <cr>delete</c> this song?", "Quieres <cr>eliminar</c> esta canciOn?"

[Creator]
"Buttons Per Row", "Botones por fila"
"Button Rows", "Filas de botones"


----- Options Creator
"Draw Trigger Boxes", "Dibujar cuadros de activacion"
"Draws the hitbox for touch triggered objects.", "Dibuja el cuadro de impacto para objetos activados por tacto."
"Playtest Music", "Prueba de la Musica"
"Plays music during playtesting.", "Reproduce musica durante la prueba de juego."
"Duration Lines", "Lineas de duracion"
"Shows a horizontal line for triggers to indicate how long they are active.", "Muestra una linea horizontal para los activadores para indicar cuanto tiempo estan activos."
"Playtest No Grid", "Prueba sin cuadricula"
"Hides grid during playtesting.", "Oculta la cuadricula durante la prueba de juego."
"Enable Link Controls", "Habilitar controles de enlace"
"Enables option to link objects together in the editor. Linked objects are always selected and deleted together.", "Permite vincular objetos en el editor. Los objetos vinculados siempre se seleccionan y eliminan juntos."
----
"Playtest No UI", "Prueba sin interfaz de usuario"
"Hides part of the editor's user interface during playtesting.", "Oculta parte de la interfaz de usuario del editor durante las pruebas de juego."
"Effect Lines", "Lineas de efecto"
"Shows a vertical line for triggers to indicate where they are activated.", "Muestra una linea vertical para los disparadores para indicar donde se activan."
"Grid On Top", "Cuadricula en la parte superior"
"Shows the grid on top of objects in editor.", "Muestra la cuadricula sobre los objetos en el editor."
"Hide Background", "Ocultar fondo"
"Hides background in editor.", "Oculta el fondo en el editor."
"Hold To Swipe", "Mantener pulsado para deslizar"
"Enables swiping after holding down anywhere on the grid for a short duration. Useful when selecting objects without the need to toggle swiping manually.", "Permite deslizar el dedo tras mantener pulsado cualquier punto de la cuadricula durante un breve periodo. Resulta util para seleccionar objetos sin necesidad de activar o desactivar el deslizamiento manualmente."
---- Page 2
"Swipe Cycle Mode", "Modo de ciclo de deslizamiento"
"Cycles through touched objects instead of adding to selection when tapping in the same position while swiping is enabled. Useful if you want to select multiple objects that are mixed with other objects.", "Recorre los objetos tocados en lugar de agregarlos a la seleccion al tocar en la misma posicion con el deslizamiento activado. Util si desea seleccionar varios objetos mezclados con otros."
"Show Clicks", "Mostrar Clicks"
"Shows a marker during playtesting when the player clicks.", "Muestra un marcador durante la prueba de juego cuando el jugador hace Click"
"Hide Path", "Ocultar ruta"
"Hides the player path from playtesting.", "Oculta la ruta del jugador durante las pruebas de juego."
"Hide Particle Icons", "Ocultar Iconos de Particulas"
"Hides particle icons while preview mode is enabled.", "Oculta los iconos de particulas mientras el modo de vista previa esta habilitado."
"Playtest Smooth Fix", "Prueba de juego Smooth Fix"
"Enables smooth fix when playtesting in the editor.", "Permite una correccion fluida durante las pruebas de juego en el editor."
"Disable Paste State Groups", "Deshabilitar grupos de estados de pegado"
"Makes it so that pasting state no longer updates the group info of the target object(s). Group state can be pasted directly on the edit group page instead.", "Permite que al pegar el estado ya no se actualice la informacion de grupo de los objetos de destino. El estado de grupo se puede pegar directamente en la pagina de edicion de grupo."
----
"Layer Locking", "Bloqueo de capas"
"Allows you to click on the editor layer number to lock and unlock a layer.", "Le permite hacer clic en el numero de capa del editor para bloquear y desbloquear una capa."
"Auto-Pause", "Pausa Automatica"
"Pauses gameplay when starting from a start position to prepare gameplay. Click a second time to actually start playing. This is used to handle start lag in larger levels.", "Pausa el juego al empezar desde una posicion inicial para prepararlo. Haz clic una segunda vez para empezar a jugar. Esto se usa para controlar el retraso inicial en niveles mas grandes."
"Start Optimization", "Iniciar Optimizacion"
"Tries to speed up start position loading in editor. Experimental.", "Intenta acelerar la carga de la posicion inicial en el editor. Experimental."
"Increase Undo/Redo", "Aumentar Deshacer/Rehacer"
"Increases maximum undo and redo limit from 200 to 1000 in editor.", "Aumenta el limite maximo de deshacer y rehacer de 200 a 1000 en el editor."
"Increase Scale", "Aumentar la escala"
"Increases maximum object scale to 4x and minimum scale to 0.25x. Note that objects larger than 6x grid size may disappear near the screen edge. This may be fixed in the future.", "Aumenta la escala maxima del objeto a 4x y la minima a 0,25x. Tenga en cuenta que los objetos con un determinado longitud de cuadricula superior a 6x pueden desaparecer cerca del borde de la pantalla. Esto podria solucionarse en el futuro."
"Small Warp Buttons", "Botones de Urdimbre Dimunutos"
"Warp control buttons are 50% smaller. (Restart editor)", "Los botones de control de deformacion son un 50 % mas Dimunutos. (Reiniciar el editor)"
---- Page 3
"Static Trace Arrows", "Flechas de Trazado Estatico"
"Disable the arrows showing directed connections when using Trace In/Out.", "Deshabilite las flechas que muestran conexiones direccionadas al usar Trace Entrada/Salida."

------ Teclas
"Key Bindings", "Atajos de teclado"
"(Customizing key bindings is not yet supported)", "(La personalizacion de teclas aun no esta admitida)"
"Gameplay Keys", "Claves de juego"
"Jump", "Saltar"
"Space / Up", "Espacio / Arriba"
"Pause", "Pausa"
"Escape", "Escapar"
"Place Checkpoint", "Lugar de Control"
"Delete Checkpoint", "Eliminar Punto de Control"

---Page 2
"Editor Keys", "Teclas del Editor"
"Build Mode", "Modo de Construccin"
"Edit Mode", "Modo de Edicion"
"Delete Mode", "Modo de Eliminacion"
"Swipe Modifier", "Modificador de Deslizamiento"
"Move Modifier", "Modificador de Movimiento"
"Rotate CCW", "Girar en Sentido Antihorario"
[El Shift se Entiende tal como es Xd]
"Space", "Espacio"

---Page 3
"Rotate cw", "Girar en sentido Horario"
"Flip X", "Voltear X"
"Flip Y", "Voltear Y"
"Delete selected", "Eliminar seleccionado"
"Undo", "Deshacer"
"Redo", "Rehacer"
"Deselect", "Deseleccionar"

---Page 4
"Copy", "Copiar"
"Paste", "Pegar"
"Duplicate", "Duplicado"
"Rotate", "Rotar"
"Free Move", "Movimiento Libre"
"Swipe", "Golpe Fuerte"
"Snap", "Quebrar"

--- Page 5
"Playtest", "Prueba de juego"
"Playback music", "Reproducir musica"
"Next Group", "Siguiente grupo"
"Previous Group", "Grupo anterior"
"Object Left", "Objeto Izquierdo"
"Object Right", "Objeto Derecho"
"Object Up", "Objeto Arriba"

---- Page 6
"Object Down", "Objeto Abajo"
"Object Left small", "Objeto Izquierda Diminuto"
"Object Right small", "Objeto Derecha Diminuto"
"Object Up small", "Objeto Arriba Diminuto"
"Object Down small", "Objeto Abajo Diminuto"
"Lock Preview", "Vista Previa de Bloqueo"

--- Page 7
"Unlock Preview", "Desbloquear Vista Previa"
"Preview Mode On/Off", "Modo Vista Previa activado/desactivado"
"Particle Icons On/Off", "Iconos de Particulas activado/desactivado"
"Debug Draw On/Off", "Dibujo de depuracion activado/desactivado"
"Hide Invisible On/Off", "Ocultar Invisible activado/desactivado"
"Save Editor Pos", "Guardar Posicion del Editor"
"Load Editor Pos", "Cargar Posicion del Editor"

---- Page 8
[El Zoom no creo que sea necesario traducirlo xd]
"Transform", "Transformar"

[Configuracion Editor]
"Select Color:", "Optar color:"
"Select Color", "Optar color"
"Select Custom Color:", "Optar Color a la Preferencia"
"Speed:", "Velocidad:"
"Select Speed", "Optar Velocidad"
"Line:", "Linea:"
"Mode:", "Modo:"
"Options:", "Opciones:"
"Game Type:", "Tipo de Juego:"
"Classic", "Clasico"
"Platformer", "Plataformas"
"Select Background", "Seleccionar fondo"
"Select Ground", "Seleccionar Terreno"
"Select Middleground", "Seleccione Punto Medio"
"Select Font", "Optar fuente"
"Choose a font that will be used in this level.", "Elija una fuente que se utilizara en este nivel."
"You can only use one font at a time.", "Solo puedes utilizar una fuente a la vez."
"Select Song:", "Cancion:"
"Custom", "Costumbre"
"Font", "Fuente"
"Select Mode", "Seleccionar modo"

"Players are controlled separately.", "Los jugadores se controlan por separado."
"<cl>Player 1:</c> Left side", "<cl>Jugador 1:</c> Lado izquierdo"
"<cg>Player 2:</c> Right side", "<cg>Jugador 2:</c> Lado derecho"
"<cy>(You can change the controls in the options menu)</c>", "<cy>(Puedes cambiar los controles en el menu de opciones)</c>"

"In platformer mode you automatically lose 1000 points per second. Toggle to disable this penalty.", "En el modo plataformas, pierdes automaticamente 1000 puntos por segundo. Activa o desactiva esta penalizacion."
"Spawn Group:", "Grupo Generacion:"
"Spawn Group", "Grupo Generacion"
"Lets you set a target position for player spawn.", "Le permite establecer una posicion de destino para el surgimiento del jugador."
"If the group contains multiple objects a random target will be selected.", "Si el grupo contiene varios objetos, se seleccionara un objetivo aleatorio."

"Size: %s", "Peso: %s"
"Files: %i", "Archivos: %i"
"ID: %i  Size: %", "ID: %i  Peso: %"
"01fMB (%is)", "01fMB (%is)"
"BPM: %i (%i)", "BPM: %i (%i)"
"SongID: %i  Size: %.02fMB", "CancionID: %i  Peso: %.02fMB"
"Songs: %i  SFX: %i  Size: %s", "Canciones: %i  Effectos: %i  Peso: %s"
"ID: %i  Size: %.01fMB", "ID: %i  Peso: %.01fMB"

---Page 1
"Legacy Options", "Opciones Heredadas"
"Allow Multi-Rotation", "Permitir Rotacion Multiple"
"Allows multiple rotation actions to run on the same target group. This was not possible before 2.2.", "Permite ejecutar multiples acciones de rotacion en el mismo grupo objetivo. Esto no era posible antes de la version 2.2."
"Allow Static-Rotate", "Permitir rotacion estatica"
"Allow rotating static objects in actions and animations. There is currently no support for rotating static objects other than 90 degree steps, but use this option to allow it anyway. Hitboxes will not match the art. Can be useful in some cases.", "Permite rotar objetos estaticos en acciones y animaciones. Actualmente no se permite rotar objetos estaticos, salvo en pasos de 90 grados, pero usa esta opcion para habilitarlo. Las zonas de impacto no coincidiran con el arte. Puede ser util en algunos casos."
"Fix Gravity Bug", "Corregir Error de Gravedad"
"Fixes an old bug that makes flipped gravity act differently than normal gravity. Old levels can break with this enabled.", "Corrige un error antiguo que provocaba que la gravedad invertida actuara de forma diferente a la gravedad normal. Los niveles antiguos podian fallar con esta opcion activada."
"Fix Robot Jump", "Arreglar el Salto del Robot"
"Fixes robot jumps being bugged on slopes and/or pads.", "Corrige los errores que provocan los saltos del robot en pendientes y/o plataformas."
"Sort Groups", "Ordenar grupos"
"Makes sure that spawn groups are triggered in the correct order (left to right).", "Se asegura de que los grupos de generacion se activen en el orden correcto (de izquierda a derecha)."

"Enable 2.2 Changes", "Habilitar Cambios 2.2"
"Legacy compatibility pre 2.2. Should be enabled on new levels.", "Compatibilidad con versiones anteriores a la 2.2. Deberia estar habilitada en los nuevos niveles."
"Enable Player Squeeze", "Habilitar la compresion del reproductor"
